Rank,Time Spent (seconds),Number of People,Category
1,19194,1,Direct
2,7864,1,Indirect
3,1720,1,Uncategorized
4,1321,1,General News & Opinion
5,1180,1,General Reference & Learning
6,903,1,Calendars
7,844,1,Travel & Outdoors
8,679,1,Intelligence
9,554,1,Search
10,401,1,Presentation
11,312,1,General Utilities
12,304,1,Maps & Regional
13,290,1,Voice Chat
14,207,1,General Software Development
15,202,1,General Entertainment
16,182,1,Internet Utilities
17,102,1,General Shopping
18,45,1,General Business
19,29,1,Graphic Design
20,9,1,General Design & Composition
